"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","API Automation Exercise","0","Product Search Functionality","1","0","Product Search - Negative/Unexpected Behavior","0"
"0","API Automation Exercise","0","Brand Catalog & Management","1","0","Brand Management - Negative Scenarios","0"
"0","API Automation Exercise","0","User Authentication & Account Management","4","0","Login Verification - Negative Scenarios","0"
"0","API Automation Exercise","0","User Authentication & Account Management","1","0","Account Creation","0"
"0","API Automation Exercise","0","Product Catalog & Management","1","0","Product Listing","0"
"0","API Automation Exercise","0","Brand Catalog & Management","1","0","Brand Listing","0"
"0","API Automation Exercise","0","Product Catalog & Management","1","0","Product Management - Negative Scenarios","0"
"0","API Automation Exercise","0","Product Search Functionality","1","0","Product Search - Negative Scenarios","0"
